id,price,surface,bedrooms,restrooms,location_name,Terraza,Ascensor,Piscina,Calefacción
8704,600,100,3,3,A Coruña,0,1,0,0
8705,800,70,2,2,A Coruña,0,1,0,0
8706,625,57,1,1,A Coruña,0,1,0,0
8708,750,65,2,2,A Coruña,0,0,0,1
8709,550,90,4,2,A Coruña,0,1,0,0
8710,600,76,2,1,A Coruña,0,1,0,1
8712,700,75,2,2,A Coruña,1,1,0,0
8715,650,95,3,2,A Coruña,0,1,0,0
8716,420,67,1,1,A Coruña,0,1,0,1
8717,800,98,4,2,A Coruña,0,1,0,0
8718,530,86,3,1,A Coruña,0,1,0,1
8720,650,76,3,2,A Coruña,0,1,0,0
8721,700,90,2,2,A Coruña,0,1,0,0
8722,750,100,3,2,A Coruña,0,0,0,1
8723,1250,97,3,2,A Coruña,0,1,0,0
8725,450,50,1,1,A Coruña,0,0,0,0
8727,1050,100,2,2,A Coruña,0,1,0,0
8728,750,70,1,1,A Coruña,0,1,0,0
8729,1250,91,3,2,A Coruña,0,1,0,0
8730,500,67,1,1,A Coruña,0,0,0,1
8731,1250,100,2,2,A Coruña,0,1,0,0
8732,550,75,3,1,A Coruña,0,0,0,0
8733,600,50,1,1,A Coruña,0,1,0,0
8734,430,74,2,1,A Coruña,0,0,0,0
8735,575,70,3,1,A Coruña,0,1,0,0
8737,575,92,4,2,A Coruña,0,1,0,0
8740,400,76,2,1,A Coruña,0,0,0,0
8741,800,90,3,2,A Coruña,0,1,0,0
8742,520,65,2,1,A Coruña,0,0,0,1
8743,500,80,3,2,A Coruña,0,1,0,0
8744,480,77,2,1,A Coruña,0,0,0,1
8746,550,40,1,1,A Coruña,0,1,0,0
8747,450,65,1,1,A Coruña,1,0,0,0
8751,600,107,2,2,A Coruña,0,1,0,0
8752,390,80,3,1,A Coruña,0,1,0,0
8753,950,90,2,2,A Coruña,0,0,0,1
8755,675,110,4,2,A Coruña,0,1,0,0
8756,525,55,1,1,A Coruña,0,1,0,0
8759,950,80,2,2,A Coruña,0,1,0,0
8760,700,60,1,1,A Coruña,0,0,0,0
8762,450,76,2,1,A Coruña,0,1,0,0
8763,600,53,1,1,A Coruña,0,0,0,0
8764,410,84,3,1,A Coruña,0,1,0,0
8768,395,45,1,1,A Coruña,0,0,0,1
8772,425,84,3,1,A Coruña,0,0,0,0
8773,575,75,2,1,A Coruña,0,1,0,0
8774,600,72,3,1,A Coruña,0,1,0,0
8776,650,109,4,2,A Coruña,0,1,0,0
8777,600,85,4,1,A Coruña,0,1,0,0
8778,1500,110,3,2,A Coruña,1,0,0,0
8780,450,54,1,1,A Coruña,0,1,0,0
8781,900,135,3,2,A Coruña,0,1,0,1
8782,900,135,3,2,A Coruña,0,1,0,0
8783,600,92,4,2,A Coruña,0,1,0,1
8784,750,80,2,1,A Coruña,0,0,0,0
8785,750,61,2,1,A Coruña,0,0,0,0
8786,600,70,2,1,A Coruña,0,1,0,1
8788,550,21,1,1,A Coruña,0,0,0,0
8790,1255,67,2,2,A Coruña,0,1,0,0
8791,800,95,3,2,A Coruña,0,1,0,0
8793,400,65,1,1,A Coruña,0,0,0,0
8795,430,45,1,1,A Coruña,0,1,0,0
8797,600,78,2,2,A Coruña,1,1,0,0
8798,580,88,3,2,A Coruña,0,1,0,1
8799,1050,69,2,1,A Coruña,0,1,0,0
8800,600,49,2,1,A Coruña,0,1,0,0
8801,580,70,2,1,A Coruña,0,0,0,1
8802,875,137,4,2,A Coruña,0,1,0,0
8803,650,60,2,1,A Coruña,0,1,0,0
8804,800,90,3,2,A Coruña,0,1,0,1
